"About the data: Exported on Jan 08, 2025. Criteria: '(LLM) AND (HLS) AND (FPGA)' in full data; Publication Type is Preprint or Proceeding.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2025 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1521,pub.1174720501,10.48550/arxiv.2408.06810,,,HLSPilot: LLM-based High-Level Synthesis,"Large language models (LLMs) have catalyzed an upsurge in automatic code
generation, garnering significant attention for register transfer level (RTL)
code generation. Despite the potential of RTL code generation with natural
language, it remains error-prone and limited to relatively small modules
because of the substantial semantic gap between natural language expressions
and hardware design intent. In response to the limitations, we propose a
methodology that reduces the semantic gaps by utilizing C/C++ for generating
hardware designs via High-Level Synthesis (HLS) tools. Basically, we build a
set of C-to-HLS optimization strategies catering to various code patterns, such
as nested loops and local arrays. Then, we apply these strategies to sequential
C/C++ code through in-context learning, which provides the LLMs with exemplary
C/C++ to HLS prompts. With this approach, HLS designs can be generated
effectively. Since LLMs still face problems in determining the optimized pragma
parameters precisely, we have a design space exploration (DSE) tool integrated
for pragma parameter tuning. Furthermore, we also employ profiling tools to
pinpoint the performance bottlenecks within a program and selectively convert
bottleneck components to HLS code for hardware acceleration. By combining the
LLM-based profiling, C/C++ to HLS translation, and DSE, we have established
HLSPilot, the first LLM-enabled high-level synthesis framework, which can fully
automate the high-level application acceleration on hybrid CPU-FPGA
architectures. According to our experiments on real-world application
benchmarks, HLSPilot achieve comparable performance in general and can even
outperform manually crafted counterparts, thereby underscoring the substantial
promise of LLM-assisted hardware designs.",,,arXiv,,,,2024-08-13,2024,,,,,,All OA; Green,Preprint,"Xiong, Chenwei; Liu, Cheng; Li, Huawei; Li, Xiaowei","Xiong, Chenwei (); Liu, Cheng (); Li, Huawei (); Li, Xiaowei ()",,"Xiong, Chenwei (); Liu, Cheng (); Li, Huawei (); Li, Xiaowei ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1174720501,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",
1506,pub.1181432896,10.48550/arxiv.2410.13079,,,RapidStream IR: Infrastructure for FPGA High-Level Physical Synthesis,"The increasing complexity of large-scale FPGA accelerators poses significant
challenges in achieving high performance while maintaining design productivity.
High-level synthesis (HLS) has been adopted as a solution, but the mismatch
between the high-level description and the physical layout often leads to
suboptimal operating frequency. Although existing proposals for high-level
physical synthesis, which use coarse-grained design partitioning,
floorplanning, and pipelining to improve frequency, have gained traction, they
lack a framework enabling (1) pipelining of real-world designs at arbitrary
hierarchical levels, (2) integration of HLS blocks, vendor IPs, and handcrafted
RTL designs, (3) portability to emerging new target FPGA devices, and (4)
extensibility for the easy implementation of new design optimization tools.
  We present RapidStream IR, a practical high-level physical synthesis (HLPS)
infrastructure for representing the composition of complex FPGA designs and
exploring physical optimizations. Our approach introduces a flexible
intermediate representation (IR) that captures interconnection protocols at
arbitrary hierarchical levels, coarse-grained pipelining, and spatial
information, enabling the creation of reusable passes for design frequency
optimizations. RapidStream IR improves the frequency of a broad set of
mixed-source designs by 7% to 62%, including large language models and genomics
accelerators, and is portable to user-customizable new FPGA platforms. We
further demonstrate its extensibility through case studies, showcasing the
ability to facilitate future research.",,,arXiv,,,,2024-10-16,2024,,,,,,All OA; Green,Preprint,"Lau, Jason; Xiao, Yuanlong; Xie, Yutong; Chi, Yuze; Song, Linghao; Xiang, Shaojie; Lo, Michael; Zhang, Zhiru; Cong, Jason; Guo, Licheng","Lau, Jason (); Xiao, Yuanlong (); Xie, Yutong (); Chi, Yuze (); Song, Linghao (); Xiang, Shaojie (); Lo, Michael (); Zhang, Zhiru (); Cong, Jason (); Guo, Licheng ()",,"Lau, Jason (); Xiao, Yuanlong (); Xie, Yutong (); Chi, Yuze (); Song, Linghao (); Xiang, Shaojie (); Lo, Michael (); Zhang, Zhiru (); Cong, Jason (); Guo, Licheng ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1181432896,"33 Built Environment and Design; 40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",
1494,pub.1175797009,10.48550/arxiv.2409.11424,,,LlamaF: An Efficient Llama2 Architecture Accelerator on Embedded FPGAs,"Large language models (LLMs) have demonstrated remarkable abilities in
natural language processing. However, their deployment on resource-constrained
embedded devices remains difficult due to memory and computational demands. In
this paper, we present an FPGA-based accelerator designed to improve LLM
inference performance on embedded FPGAs. We employ post-training quantization
to reduce model size and optimize for off-chip memory bandwidth. Our design
features asynchronous computation and a fully pipelined accelerator for
matrix-vector multiplication. Experiments of the TinyLlama 1.1B model on a
Xilinx ZCU102 platform show a 14.3-15.8x speedup and a 6.1x power efficiency
improvement over running exclusively on ZCU102 processing system (PS).",,,arXiv,,,,2024-09-12,2024,,,,,,All OA; Green,Preprint,"Xu, Han; Li, Yutong; Ji, Shihao","Xu, Han (); Li, Yutong (); Ji, Shihao ()",,"Xu, Han (); Li, Yutong (); Ji, Shihao ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1175797009,33 Built Environment and Design; 3301 Architecture; 40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,7 Affordable and Clean Energy
1493,pub.1184021537,10.1109/wf-iot62078.2024.10811385,,,LlamaF: An Efficient Llama2 Architecture Accelerator on Embedded FPGAs,"Large language models (LLMs) have demonstrated remarkable abilities in natural language processing. However, their deployment on resource-constrained embedded devices remains difficult due to memory and computational demands. In this paper, we present an FPGA-based accelerator designed to improve LLM inference performance on embedded FPGAs. We employ post-training quantization to reduce model size and optimize for off-chip memory bandwidth. Our design features asynchronous computation and a fully pipelined accelerator for matrix-vector multiplication. Experiments of the TinyLlama 1.1B model on a Xilinx ZCU102 platform show a 14.3-15.8x speedup and a 6.1x power efficiency improvement over running exclusively on ZCU102 processing system (PS).","We would like to thank the anonymous reviewers for their comments and suggestions, which helped improve the quality of this paper. We would also gratefully acknowledge the support of VMware Inc. for its university research fund to this research.","We would like to thank the anonymous reviewers for their comments and suggestions, which helped improve the quality of this paper. We would also gratefully acknowledge the support of VMware Inc. for its university research fund to this research.",,2024 IEEE 10th World Forum on Internet of Things (WF-IoT),,,2024-11-13,2024,,2024-11-13,00,,1-7,All OA; Green,Proceeding,"Xu, Han; Li, Yutong; Ji, Shihao","Xu, Han (University of Illinois at Urbana-Champaign Urbana, Illinois); Li, Yutong (University of Illinois at Urbana-Champaign Champaign, Illinois); Ji, Shihao (Georgia State University, Atlanta, Georgia)","Xu, Han (University of Illinois Urbana-Champaign)","Xu, Han (University of Illinois Urbana-Champaign); Li, Yutong (University of Illinois Urbana-Champaign); Ji, Shihao (Georgia State University)",0,0,,,http://arxiv.org/pdf/2409.11424,https://app.dimensions.ai/details/publication/pub.1184021537,33 Built Environment and Design; 3301 Architecture; 40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,7 Affordable and Clean Energy
1493,pub.1170130348,10.1109/asp-dac58780.2024.10473893,,,Invited Paper: Software/Hardware Co-design for LLM and Its Application for Design Verification,"The widespread adoption of Large Language Models (LLMs) is impeded by their demanding compute and memory resources. The first task of this paper is to explore optimization strategies to expedite LLMs, including quantization, pruning, and operation-level optimizations. One unique direction is to optimize LLM inference through novel software/hardware co-design methods. Given the accelerated LLMs, the second task of this paper is to study LLMs' performance in the usage scenario of circuit design and verification. Specifically, we place a particular emphasis on functional verification. Through automated prompt engineering, we harness the capabilities of the established LLM, GPT-4, to generate High-Level Synthesis (HLS) designs with predefined errors based on 11 open-source synthesizable HLS benchmark suites. This dataset is a comprehensive collection of over 1000 function-level designs, and each of which is afflicted with up to 45 distinct combinations of defects injected into the source code. This dataset, named Chrysalis, expands upon what's available in current HLS error models, offering a rich resource for training to improve how LLMs debug code. The dataset can be accessed at: https://github.com/UIUC-ChenLab/Chrysalis-HLS.",,,,2024 29th Asia and South Pacific Design Automation Conference (ASP-DAC),,,2024-01-22,2024,,,,,435-441,Closed,Proceeding,"Wan, Lily Jiaxin; Huang, Yingbing; Li, Yuhong; Ye, Hanchen; Wang, Jinghua; Zhang, Xiaofan; Chen, Deming","Wan, Lily Jiaxin (University of Illinois Urbana-Champaign); Huang, Yingbing (University of Illinois Urbana-Champaign); Li, Yuhong (University of Illinois Urbana-Champaign); Ye, Hanchen (University of Illinois Urbana-Champaign); Wang, Jinghua (University of Illinois Urbana-Champaign); Zhang, Xiaofan (Google); Chen, Deming (University of Illinois Urbana-Champaign)",,"Wan, Lily Jiaxin (University of Illinois Urbana-Champaign); Huang, Yingbing (University of Illinois Urbana-Champaign); Li, Yuhong (University of Illinois Urbana-Champaign); Ye, Hanchen (University of Illinois Urbana-Champaign); Wang, Jinghua (University of Illinois Urbana-Champaign); Zhang, Xiaofan (Google (United States)); Chen, Deming (University of Illinois Urbana-Champaign)",5,5,,,,https://app.dimensions.ai/details/publication/pub.1170130348,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware; 46 Information and Computing Sciences",
1489,pub.1182091709,10.1145/3649329.3663517,,,"Invited: New Solutions on LLM Acceleration, Optimization, and Application","Large Language Models (LLMs) have revolutionized a wide range of applications with their strong human-like understanding and creativity. Due to the continuously growing model size and complexity, LLM training and deployment have shown significant challenges, which often results in extremely high computational and storage costs and energy consumption. In this paper, we discuss the recent advancements and research directions on (1) LLM algorithm-level acceleration, (2) LLM-hardware co-design for improved system efficiency, (3) LLM-to-accelerator compilation for customized LLM accelerators, and (4) LLM-aided design for HLS (High-Level Synthesis) functional verification. For each aspect, we present the background study, our proposed solutions, and future directions. An extended version of this work can be found at: https://arxiv.org/abs/2406.10903.",,,,Proceedings of the 61st ACM/IEEE Design Automation Conference,,,2024-06-23,2024,2024-11-07,2024-06-23,,,1-4,Closed,Proceeding,"Huang, Yingbing; Wan, Lily Jiaxin; Ye, Hanchen; Jha, Manvi; Wang, Jinghua; Li, Yuhong; Zhang, Xiaofan; Chen, Deming","Huang, Yingbing (University of Illinois Urbana-Champaign, Urbana, IL, United States); Wan, Lily Jiaxin (University of Illinois Urbana-Champaign, Urbana, IL, United States); Ye, Hanchen (University of Illinois Urbana-Champaign, Urbana, IL, United States); Jha, Manvi (University of Illinois Urbana-Champaign, Urbana, IL, United States); Wang, Jinghua (University of Illinois Urbana-Champaign, Urbana, IL, United States); Li, Yuhong (University of Illinois Urbana-Champaign, Urbana, IL, United States); Zhang, Xiaofan (Google, San Jose, CA, United States); Chen, Deming (University of Illinois Urbana-Champaign, Champaign, IL, United States)","Chen, Deming (University of Illinois Urbana-Champaign)","Huang, Yingbing (University of Illinois Urbana-Champaign); Wan, Lily Jiaxin (University of Illinois Urbana-Champaign); Ye, Hanchen (University of Illinois Urbana-Champaign); Jha, Manvi (University of Illinois Urbana-Champaign); Wang, Jinghua (University of Illinois Urbana-Champaign); Li, Yuhong (University of Illinois Urbana-Champaign); Zhang, Xiaofan (Google (United States)); Chen, Deming (University of Illinois Urbana-Champaign)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1182091709,33 Built Environment and Design; 3303 Design; 40 Engineering,7 Affordable and Clean Energy
1480,pub.1167360414,10.48550/arxiv.2312.15159,,,Understanding the Potential of FPGA-Based Spatial Acceleration for Large Language Model Inference,"Recent advancements in large language models (LLMs) boasting billions of
parameters have generated a significant demand for efficient deployment in
inference workloads. The majority of existing approaches rely on temporal
architectures that reuse hardware units for different network layers and
operators. However, these methods often encounter challenges in achieving low
latency due to considerable memory access overhead. This paper investigates the
feasibility and potential of model-specific spatial acceleration for LLM
inference on FPGAs. Our approach involves the specialization of distinct
hardware units for specific operators or layers, facilitating direct
communication between them through a dataflow architecture while minimizing
off-chip memory accesses. We introduce a comprehensive analytical model for
estimating the performance of a spatial LLM accelerator, taking into account
the on-chip compute and memory resources available on an FPGA. Through our
analysis, we can determine the scenarios in which FPGA-based spatial
acceleration can outperform its GPU-based counterpart. To enable more
productive implementations of an LLM model on FPGAs, we further provide a
library of high-level synthesis (HLS) kernels that are composable and reusable.
This library will be made available as open-source. To validate the
effectiveness of both our analytical model and HLS library, we have implemented
BERT and GPT2 on an AMD Alveo U280 FPGA device. Experimental results
demonstrate our approach can achieve up to 13.4x speedup when compared to
previous FPGA-based accelerators for the BERT model. For GPT generative
inference, we attain a 2.2x speedup compared to DFX, an FPGA overlay, in the
prefill stage, while achieving a 1.9x speedup and a 5.7x improvement in energy
efficiency compared to the NVIDIA A100 GPU in the decode stage.",,,arXiv,,,,2023-12-22,2023,,,,,,All OA; Green,Preprint,"Chen, Hongzheng; Zhang, Jiahao; Du, Yixiao; Xiang, Shaojie; Yue, Zichao; Zhang, Niansong; Cai, Yaohui; Zhang, Zhiru","Chen, Hongzheng (); Zhang, Jiahao (); Du, Yixiao (); Xiang, Shaojie (); Yue, Zichao (); Zhang, Niansong (); Cai, Yaohui (); Zhang, Zhiru ()",,"Chen, Hongzheng (); Zhang, Jiahao (); Du, Yixiao (); Xiang, Shaojie (); Yue, Zichao (); Zhang, Niansong (); Cai, Yaohui (); Zhang, Zhiru ()",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1167360414,"33 Built Environment and Design; 40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware; 46 Information and Computing Sciences",7 Affordable and Clean Energy
1478,pub.1176209492,10.1109/orss62274.2024.10697938,,,Evaluating Large Language Models for High-Level Synthesis,"Large language models (LLMs) are comprehensive tools, that are capable of modeling natural languages, such as human reasoning, and code structures, and even more recently, using expansive collective databases are even now able to create generated information based on a given user prompts. Given the extensive capabilities of LLMs and their diverse knowledge in many fields, this paper explores the use of LLMs for hardware design. Specifically improving LLM’s capability for code editing and generation of C++ code targeting high level synthesis (HLS) for FPGA design, as well as creating generated code based on a programmable prompt. We built a frame work to interact with LLM tools. Results indicate that there is success in creating an external framework for zero-shot code editing, indicating that the approach is valid with minor model performance. Future work looks to improve the framework’s accuracy for the current model and expand usage to other models as well as code generation.",,,,2024 IEEE Opportunity Research Scholars Symposium (ORSS),,,2024-07-15,2024,,2024-07-15,00,,49-52,Closed,Proceeding,"Rizvi, Ali; Simon, Nia; Tocho, Janet; Yongaci, Asil; Abi-Karam, Stefan; Hao, Cong","Rizvi, Ali (); Simon, Nia (); Tocho, Janet (); Yongaci, Asil (); Abi-Karam, Stefan (); Hao, Cong ()","Rizvi, Ali ()","Rizvi, Ali (); Simon, Nia (); Tocho, Janet (); Yongaci, Asil (); Abi-Karam, Stefan (); Hao, Cong ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1176209492,33 Built Environment and Design; 3303 Design; 46 Information and Computing Sciences,
1476,pub.1171302147,10.48550/arxiv.2405.00738,,,HLSTransform: Energy-Efficient Llama 2 Inference on FPGAs Via High Level Synthesis,"Graphics Processing Units (GPUs) have become the leading hardware accelerator
for deep learning applications and are used widely in training and inference of
transformers; transformers have achieved state-of-the-art performance in many
areas of machine learning and are especially used in most modern Large Language
Models (LLMs). However, GPUs require large amounts of energy, which poses
environmental concerns, demands high operational costs, and causes GPUs to be
unsuitable for edge computing. We develop an accelerator for transformers,
namely, Llama 2, an open-source state-of-the-art LLM, using high level
synthesis (HLS) on Field Programmable Gate Arrays (FPGAs). HLS allows us to
rapidly prototype FPGA designs without writing code at the register-transfer
level (RTL). We name our method HLSTransform, and the FPGA designs we
synthesize with HLS achieve up to a 12.75x reduction and 8.25x reduction in
energy used per token on the Xilinx Virtex UltraScale+ VU9P FPGA compared to an
Intel Xeon Broadwell E5-2686 v4 CPU and NVIDIA RTX 3090 GPU respectively, while
increasing inference speeds by up to 2.46x compared to CPU and maintaining
0.53x the speed of an RTX 3090 GPU despite the GPU's 4 times higher base clock
rate. With the lack of existing open-source FPGA accelerators for transformers,
we open-source our code and document our steps for synthesis. We hope this work
will serve as a step in democratizing the use of FPGAs in transformer inference
and inspire research into energy-efficient inference methods as a whole. The
code can be found on https://github.com/HLSTransform/submission.",,,arXiv,,,,2024-04-29,2024,,,,,,All OA; Green,Preprint,"He, Andy; Key, Darren; Bulling, Mason; Chang, Andrew; Shapiro, Skyler; Lee, Everett","He, Andy (); Key, Darren (); Bulling, Mason (); Chang, Andrew (); Shapiro, Skyler (); Lee, Everett ()",,"He, Andy (); Key, Darren (); Bulling, Mason (); Chang, Andrew (); Shapiro, Skyler (); Lee, Everett ()",0,0,,,,https://app.dimensions.ai/details/publication/pub.1171302147,"40 Engineering; 4008 Electrical Engineering; 4009 Electronics, Sensors and Digital Hardware",7 Affordable and Clean Energy
1473,pub.1182097646,10.1145/3649329.3663500,,,Late Breaking Results: Language-level QoR modeling for High-Level Synthesis,"This paper proposes a language-level modeling approach for HighLevel Synthesis based on the state-of-the-art Transformer architecture. Our approach estimates the performance and required resources of HLS applications directly from the source code when different synthesis directives, in terms of HLS #pragmas, are applied. Results show that the proposed architecture achieves 96.02% accuracy for predicting the feasibility class of applications and an average of 0.95 and 0.91 R2 scores for predicting the actual performance and required resources, respectively.",,,,Proceedings of the 61st ACM/IEEE Design Automation Conference,,,2024-06-23,2024,2024-11-07,2024-06-23,,,1-2,Closed,Proceeding,"Masouros, Dimosthenis; Ferikoglou, Aggelos; Zervakis, Georgios; Xydis, Sotirios; Soudris, Dimitrios","Masouros, Dimosthenis (National Technical University of Athens, Athens, Athens, Greece); Ferikoglou, Aggelos (National Technical University of Athens, Athens, Attica, Greece); Zervakis, Georgios (University of Patras, Patras, Achaia, Greece); Xydis, Sotirios (National Technical University of Athens, Athens, Attica, Greece); Soudris, Dimitrios (National Technical University of Athens, Athens, Attica, Greece)","Ferikoglou, Aggelos (National Technical University of Athens)","Masouros, Dimosthenis (National Technical University of Athens); Ferikoglou, Aggelos (National Technical University of Athens); Zervakis, Georgios (University of Patras); Xydis, Sotirios (National Technical University of Athens); Soudris, Dimitrios (National Technical University of Athens)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1182097646,40 Engineering; 4008 Electrical Engineering,
